Page ID,Page name,Disclaimer,Amount spent (INR),Number of ads in Library
2.94E+11,Dainik Bhaskar,Dainik Bhaskar,362238,3
2.38E+14,Dr. Pasilian Nazerath,EXULTANT INTERIORS AND FABRICATORS,361318,231
2.22E+14,Munger Lok Sabha - ??????,The Narrative Builders,359820,201
1.49E+15,Nara Chandrababu Naidu,Nara Chandrababu Naidu,358684,24
2.42E+14,Shubhashray Housing India,Shubhashray Housing India,358340,37
2.38E+14,Bengal Pulse,Bengal Pulse,358102,257
2.14E+14,Kondru MuraliMohan,Kondru MuraliMohan,357912,41
1.22E+14,Anil Joshi,Anil Joshi,357109,151
5.18E+14,Dr Ashok Tanwar,Digital Pitch,355008,525
5.60E+14,Gonuguntla Venkat Shiva Sita Rama Anzanneyllu,Gonuguntla Venkat Shiva Sita Rama Anzanneyllu,354291,119
2.19E+14,Odia Pulse,Blow Horn Media,352658,82
4.08E+14,Jayaprakash Hegde,Jayaprakash Hegde,347458,98
7.10E+14,Phir Ek Baar Modi Sarkar - Uttar Pradesh,up2022.com,344932,485
3.16E+14,Rozana Spokesman,Rozana Spokesman,344197,190
2.19E+14,Odia Pulse,Odia Pulse,343690,251
2.20E+14,Andhra Central - ????? ????????,Andhra Central - ????? ????????,341338,56
2.48E+14,Banka Lok Sabha - ?????,The Narrative Builders,340674,218
1.33E+15,Prataprao Jadhao,Prataprao Jadhao,340291,276
2.67E+14,Namburu YSRCP,Namburu Sankara Rao,339835,110
1.05E+14,Kartikeya Sharma,Kartikeya Sharma,337910,291
4.28E+14,Team Raja Warring Social Media,Team Raja Warring Social Media,337185,810
1.05E+14,PACE INDIA,PACE INDIA,336623,43
2.19E+14,?????? ?????? ?????? ?? ?????? - Parakhichhu Jahaku Bachhibu bi Tahaku,?????? ?????? ?????? ?? ??????,336033,1152
2.19E+14,BJP For Warangal,BJP For Warangal,335278,342
2.37E+14,Jhanjharpur Lok Sabha - ????????,The Narrative Builders,333258,161
1.39E+14,Amarinder Singh Raja Warring,Amarinder Singh Raja Warring,333163,134
1.21E+15,Anshul Avijit,Anshul Avijit,331260,410
1.14E+14,Indian Compass Videos,theindiancompass.com,330785,572
1.78E+14,Vasant Masala,Vasant Masala,329811,28
1.47E+15,Gudivada TDP,Gudivada TDP,327836,437
6.05E+14,Shrirang Appa Barne,Shrirang Appa Barne,326769,322
2.39E+14,Beats of Calicut,Maitri,325255,86
1.07E+14,Rashmi Barve,Rashmi Barve,324878,144
1.91E+14,Vamsi Gaddam for Peddapalli,Vamsi Gaddam for Peddapalli,324410,35
1.71E+14,I Support Sudhir Mungantiwar,I Support Sudhir Mungantiwar,323131,195
1.17E+14,NCPSpeaks_Official,NCPSpeaks_Official,323011,130
1.91E+14,Yarlagadda VenkatRao,Aadhan Media Pvt Ltd,320730,45
1.55E+14,Vijay Inder Singla,Vijay Inder Singla,319408,250
1.26E+14,State Headlines,First Show Online Services,318796,5
2.21E+14,Dr. Nirmal Kumar Saha,Car Driver4Me Solution Private Limited,317859,51
7.98E+14,Flag Foundation of India,Flag Foundation of India,317603,92
4.61E+14,Gudivada Amarnath,Gudivada Amarnath,317403,18
1.10E+14,Raja Raja Budhiraja,Raja Raja Budhiraja,317217,203
2.79E+14,BJP Uttarakhand,Bharatiya Janata Party (BJP),315114,160
1.38E+15,Alok Misra,Alok Misra,313831,427
1.00E+14,Abhaysinh Jagtap - ??????? ?????,Abhaysinh Jagtap - ??????? ?????,313080,32
1.07E+14,Neelambari Herbal Ayurveda,These ads ran without a disclaimer,312538,6
1.54E+14,Chandan Singh Chauhan,Chandan Singh Chauhan,312160,444
2.50E+14,Malabar Central - ????? ???????,Ulta Chashmaa,311769,16
1.14E+14,Sankha,Sankha,308020,766
6.06E+14,Ranjith Reddy,Ranjith Reddy,307919,218
3.09E+14,Nardev Singh Bobby Maan,Nardev Singh Bobby Mann,307708,156
5.89E+14,Kumari Selja,Kumari Selja,307607,419
2.57E+14,Supaul Lok Sabha - ?????,The Narrative Builders,307455,153
2.21E+14,Ankuram IVF,Ankuram IVF,306783,35
5.28E+14,Indian National Congress -  Madhya Pradesh,Indian National Congress -  Madhya Pradesh,306536,97
5.49E+14,Arvind Khanna,Arvind Khanna,306135,592
6.28E+14,Indian National Congress - Uttar Pradesh,Indian National Congress - Uttar Pradesh,305820,123
2.85E+14,Eatala Rajendar For Malkajgiri MP,Rastra,305572,417
1.03E+14,????? ????,????? ????,304802,226
3.13E+11,ShivSena,ShivSena,304021,65
2.95E+14,Shambhavi - ???????,Shambhavi Choudhary,303573,270
2.40E+14,Madhepura Lok Sabha - ???????,The Narrative Builders,303302,149
2.64E+14,CM Ramesh For Anakapalli,Aadhan Media Pvt Ltd,303253,23
1.11E+14,ICONS - Tata Ambani Adani,ICONS - Tata Ambani Adani,302852,61
1.05E+15,Hirabhai Jotva,Hirabhai Jotva Fan Club,301225,50
1.15E+14,Shivsena - ???????,Shivsena - ???????,298809,165
2.60E+14,Vemireddy Prashanthi Reddy,Hemanth Cherukuri,298000,60
2.33E+14,Change4TVM,Concept Communication Ltd,296818,91
2.74E+14,Nabin Sambalpur,Mindbreakmedia,296254,287
1.08E+14,?????? ????? ?????,?????? ????? ?????,294721,54
5.22E+14,Bhagirath Choudhary,Bhagirath Choudhary,294455,466
2.61E+14,C R Paatil Fan Connect,Social Rajneeti,294194,364
1.00E+14,Malvinder Singh Kang,Malvinder Singh Kang,293708,440
5.69E+14,The Times Of A Better India,LEO DIGITAL COMMUNICATIONS PVT LTD,293170,124
1.00E+14,Deepak Yadav,Deepak Yadav,293003,239
1.04E+14,? ??? ?? ????????,? ??? ?? ????????,292153,114
9.83E+14,Sri Krishna Devarayalu Lavu,Sri Krishna Devarayalu Lavu,292070,25
1.09E+14,???? ?????,???? ?????,291220,649
1.09E+14,????? ???????? ????,????? ???????? ????,291137,115
2.14E+14,BC Janardhan Reddy,BC Janardhan Reddy,289922,101
2.23E+14,Katihar Lok Sabha - ??????,The Narrative Builders,289655,176
1.28E+14,Balwinder Sekhon,Balwinder Sekhon,288612,203
1.03E+14,Ram Satpute FC,Outstretch Analytics and Media,288479,81
1.01E+14,Socialtalk News,Socialtalk News,287379,163
2.63E+14,Kishanganj Lok Sabha - ???????,The Narrative Builders,286674,174
2.38E+14,BBC News ??????,These ads ran without a disclaimer,286361,13
5.28E+14,Dr. Amar Singh,Dr. Amar Singh,285670,234
2.63E+14,Pakkaa Local,Madhura Charitable Trust,285170,135
2.55E+14,BB Patil,RASTRA,284914,62
1.94E+14,Bolla Brahmanaidu,Bolla Brahmanaidu,282939,109
2.54E+14,?????? ??? ??? ?? ???? ?????,Shiromani Akali Dal,282527,44
1.94E+14,Purnia Lok Sabha - ????????,The Narrative Builders,281853,160
2.57E+14,Anupama Singh,Anupama Singh,280675,284
3.13E+14,Siyasat Di Baat - ????? ?? ???,Ulta Chashmaa,280644,33
2.64E+14,Anshay Kalra - Rocky Ji,Harold Electricals,280109,13
1.00E+14,My Vote 4 BJD,My Vote 4 BJD,279622,633
7621489963,SPYKAR,SPYKAR,279576,15
3.23E+14,Mahesh Parmar,Mahesh Parmar,278608,364
4.00E+14,PP Chaudhary,PP Chaudhary,278531,352
9.86E+14,Sribharat Mathukumilli,Politics for Impact,278132,103
2.26E+14,Pantham Nanaji,Pantham Nanaji,277345,231
2.60E+14,Shahu Chhatrapati,Quink Inc,275126,173
1.44E+14,"RDT - Rural Development Trust, Anantapur","RDT - Rural Development Trust, Anantapur",273908,49
2.10E+14,Shivajirao Adhalrao Patil,Amit Jadhav,272569,80
5.35E+14,Kailash Choudhary,Kailash Choudhary,272394,351
1.55E+15,Gurjeet Singh Aujla,Gurjeet Singh Aujla,271517,281
2.96E+14,Bharosa Bhilwara ka -????? ??????? ??,Bharosa Bhilwara ka,270698,368
1.70E+14,Jaiveer singh,Jaiveer singh,269952,318
2.00E+14,Sushil Rinku,Sushil Rinku,269926,213
3.04E+14,SDF News,SDF News,269817,103
3.80E+14,Aam Aadmi Party Haryana,Aam Aadmi Party Haryana,269168,11
2.34E+14,Dr Prabha Mallikarjun SS,Dr Prabha Mallikarjun SS,266767,103
2.41E+14,Dr. Rajkumar Sangwan,Dr. Rajkumar Sangwan,266340,522
3.31E+14,HelpAge India,HelpAge India,266245,42
1.11E+14,Haq Maguchi Odisha,Haq Maguchi Odisha,265728,727
2.70E+14,Nabin Kendrapada,Mindbreakmedia,264777,236
1.05E+14,Iqbal Singh Jhundan,Iqbal Singh Jhundan,264403,217
2.21E+14,??????,??????,264177,17
1.01E+14,?????? ?? ??? ???????,?????? ?? ??? ???????,263086,404
1.02E+14,???? ??? ????? - Jabab Deba Odisha,???? ??? ????? - Jabab Deba Odisha,263028,682
1.47E+14,Kuldeep Kumar,Kuldeep Kumar,262605,874
1.03E+14,Sab Fade Jange -?? ??? ?????,Digital Maniaz,262510,6
1.33E+14,Dinesh Chandra Nepal,Dinesh Chandra Nepal,262034,115
2.24E+14,Modi4Indur,Modi4Indur,261533,130
2.65E+14,BJP Ludhiana,RIEHCS.com,261359,85
